address,vulnerability,compiler,SWC_ID
0x68fb67352535327438d319749e8f74c92157db14,erc721-reentrancy,0.8.7,SWC-107
0x9e5930272f5434dbdc12f918c1ba5198677dc6dc,erc721-reentrancy,0.8.7,SWC-107
0xd208ee54fde79d6ab54be4cc844d22c40bde2ddc,erc721-reentrancy,0.8.0,SWC-107
0x4954412C110C092995619d582457A57E89C95dB0,erc721-reentrancy,0.8.7,SWC-107
0x1fa68a0b1f902c5a86b494df5591dbaedbb46588,erc721-reentrancy,0.8.7,SWC-107
0x2657C23076b70318De375aE61cF6848235376ACF,erc721-reentrancy,0.7.3,SWC-107
0x2333d09afa09847e40e3b67a5e38b95819de64f8,erc721-reentrancy,0.8.7,SWC-107
0x10C7a5D80c74aB3e0B8Cfd4a03dd3Af711Afd4C5,erc721-reentrancy,0.8.6,SWC-107
0x2f3eb3527120c227842de40ac148d8dc8cba9e63,erc721-reentrancy,0.8.7,SWC-107
0xd347216b4e200bc42ea7b2a91963193735bc8495,erc721-reentrancy,0.7.3,SWC-107
0xe772cae7e51499c2c8eb862a8f766c5b79957540,erc721-reentrancy,0.8.7,SWC-107
0x4cB1420AA77B731acbe258F8CA0f0b9ad4aDbD09,erc721-reentrancy,0.8.14,SWC-107
0x7d18033fc3b57d9ee6b77745ec34b790bca5121c,erc721-reentrancy,0.8.7,SWC-107
0x6F11278cAE0A0b981Da2C17b46ef60DF4686dE39,erc721-reentrancy,0.8.13,SWC-107
0xfdfbf1edb56f8b5441d13601e2eb024f9bcf19a6,erc721-reentrancy,0.8.7,SWC-107
0x7F81858eA3b43513AdFAF0A20DC7B4c6EbE72919,erc721-reentrancy,0.8.7,SWC-107
0xe8273eCD8C7E79a7aC30B1A670E3acC3eC8d3fc2,erc721-reentrancy,0.8.6,SWC-107
0x13f9112dD9Cf999d8Ba2DFCF45044960df553126,erc721-reentrancy,0.6.12,SWC-107
0x64f57F8A514415526CAa75b52Ca12Ba83416437c,erc721-reentrancy,0.8.2,SWC-107
0x24083ee3919421E7477FF7A0b4b550EcE0e5d87E,balancer-readonly-reentrancy-getpooltokens,0.8.6,SWC-107
0xa5015285e9979c2ae43bee29b3619051133802f6,erc721-reentrancy,0.7.6,SWC-107
0x1c3c941533519daa541173118c3299632a9dfd5f,erc721-reentrancy,0.8.16,SWC-107
0xec438c3ddA809B3b45331CC7c4d6125F815Faf02,erc721-reentrancy,0.8.7,SWC-107
0x6eED7Ab5C770Ac20E98424EfaadB2546c75a25fB,erc721-reentrancy,0.8.9,SWC-107
0x515d92E46aA42809787Dad2539cEc993F9f97356,erc721-reentrancy,0.8.7,SWC-107
0xa17d60FfEcfBe4faa63bd175683B5259BF790690,erc721-reentrancy,0.8.13,SWC-107
0x3A5c837639a3F230676b498b657A1F96a68De0Cb,erc721-reentrancy,0.8.9,SWC-107
0xe03480e9196003d9b4106c56595a1429f7d00f87,erc721-reentrancy,0.8.17,SWC-107
0x2a19942C3A20F20B1F545403376A6f1e7561c5Ea,erc721-reentrancy,0.8.13,SWC-107
0x66d921e88ebf0e58994827d732c24e7f1563fce9,erc721-reentrancy,0.8.9,SWC-107
