version,SWC-107,SWC-106,SWC-115,SWC-105,SWC-101
total,0.09842084139107345,0.07412730414247408,0.30831035890313,0.008670798305955487,0.0075362894299894
v4,0.08878291812433263,0.11772063760539157,0.4501605847266962,0.031164743380323722,0.012091047051795626
v5,0.05664022431053433,0.10757494265107344,0.18683088959053884,0.020071734886679134,0.0032339851099861205
v6,0.07014781866659502,0.13030093557826034,0.26393145199683854,0.0136509646594204,0.009023868303100107
v7,0.07361780217152722,0.07563422774421888,0.24040290226939165,0.02081446869224802,0.006269858585288231
v8,0.10459609488587741,0.04506076245627656,0.3094227763412384,0.005756311682429991,0.0003865768096500333
