num_tools,average_v0,average_v4,average_v5,average_v6,average_v7,average_v8
2,0.014715682882551578,0.02343934136053007,0.006373213429068916,0.017963389018744568,0.01235328913179945,0.0007731536193000666
3,0.00023793065161814773,0.00049516849537412,6.317119393555e-05,5.6231724970430006e-05,0.000124285359184675,0.0
4,0.0,0.0,0.0,0.0,0.0,
5,0.0,0.0,,,,
