num_tools,average_v0,average_v4,average_v5,average_v6,average_v7,average_v8
2,0.1127742805530386,0.15550170689946835,0.1836954291071938,0.18954785221790826,0.13689770713448676,0.08274214997799505
3,0.029782108160162447,0.053355740379807545,0.05032388663967611,0.061173361522198724,0.027890911065660867,0.014442736869233686
4,0.010049349118586733,0.02078050511834954,0.0048780487804878005,0.02222222222222222,0.00517574781378458,0.00331218989116094
5,0.0031088477302917833,0.006882106523040083,0.0,0.0,0.0,0.0006485084306095834
6,0.0,0.0,,,,0.0
