address,location,filepath,vulnerability,compiler,SWC_ID
/bdata2/sc/dataset/mainnet/0xcd73a63f2cb03d1a11c5c009b0fb2b5c9c430754.sol,343.0,/bdata2/sc/dataset/mainnet_bytecode/0xcd73a63f2cb03d1a11c5c009b0fb2b5c9c430754.rt.hex,UnsecuredValueSend,0.7.6,SWC-105
/bdata2/sc/dataset/mainnet/0x53c80eD6b8F641958b51013BfcBCFc8E1d1da3c4.sol,152.0,/bdata2/sc/dataset/mainnet_bytecode/0x53c80eD6b8F641958b51013BfcBCFc8E1d1da3c4.rt.hex,UnsecuredValueSend,0.8.17,SWC-105
/bdata2/sc/dataset/mainnet/0x53c80eD6b8F641958b51013BfcBCFc8E1d1da3c4.sol,202.0,/bdata2/sc/dataset/mainnet_bytecode/0x53c80eD6b8F641958b51013BfcBCFc8E1d1da3c4.rt.hex,UnsecuredValueSend,0.8.17,SWC-105
/bdata2/sc/dataset/mainnet/0x53c80eD6b8F641958b51013BfcBCFc8E1d1da3c4.sol,177.0,/bdata2/sc/dataset/mainnet_bytecode/0x53c80eD6b8F641958b51013BfcBCFc8E1d1da3c4.rt.hex,UnsecuredValueSend,0.8.17,SWC-105
/bdata2/sc/dataset/mainnet/0x23ccF7F93b9433cb8F30B41fc8557b07ce6812BC.sol,1135.0,/bdata2/sc/dataset/mainnet_bytecode/0x23ccF7F93b9433cb8F30B41fc8557b07ce6812BC.rt.hex,UnsecuredValueSend,0.8.7,SWC-105
/bdata2/sc/dataset/mainnet/0x9007A80247D23Cc5C213A6DAcB385c632c4e19F2.sol,2259.0,/bdata2/sc/dataset/mainnet_bytecode/0x9007A80247D23Cc5C213A6DAcB385c632c4e19F2.rt.hex,UnsecuredValueSend,0.6.12,SWC-105
/bdata2/sc/dataset/mainnet/0x2e29f37c5942976202f95df175dcc28dad17d461.sol,1755.0,/bdata2/sc/dataset/mainnet_bytecode/0x2e29f37c5942976202f95df175dcc28dad17d461.rt.hex,UnsecuredValueSend,0.8.9,SWC-105
/bdata2/sc/dataset/mainnet/0x2e29f37c5942976202f95df175dcc28dad17d461.sol,1760.0,/bdata2/sc/dataset/mainnet_bytecode/0x2e29f37c5942976202f95df175dcc28dad17d461.rt.hex,UnsecuredValueSend,0.8.9,SWC-105
/bdata2/sc/dataset/mainnet/0x7bd9084fdd5d021c226918d86c0721cb088b9b4a.sol,39.0,/bdata2/sc/dataset/mainnet_bytecode/0x7bd9084fdd5d021c226918d86c0721cb088b9b4a.rt.hex,UnsecuredValueSend,v0.4.20,SWC-105
/bdata2/sc/dataset/mainnet/0x2b51e3551a5ae69dd575cc997e7d9b3a1966b861.sol,202.0,/bdata2/sc/dataset/mainnet_bytecode/0x2b51e3551a5ae69dd575cc997e7d9b3a1966b861.rt.hex,UnsecuredValueSend,0.5.5,SWC-105
/bdata2/sc/dataset/mainnet/0x90f1FB21Ce451e6f52C637D0e0120954B5826486.sol,1549.0,/bdata2/sc/dataset/mainnet_bytecode/0x90f1FB21Ce451e6f52C637D0e0120954B5826486.rt.hex,UnsecuredValueSend,0.8.7,SWC-105
