address,location,filepath,vulnerability,compiler,SWC_ID
/bdata2/sc/dataset/mainnet/0x5FF2f23407143E6c9864Cd5c759F6A90baf63BDF.sol,364.0,/bdata2/sc/dataset/mainnet_bytecode/0x5FF2f23407143E6c9864Cd5c759F6A90baf63BDF.rt.hex,OverflowLoopIterator,0.6.12,SWC-101
/bdata2/sc/dataset/mainnet/0x5FF2f23407143E6c9864Cd5c759F6A90baf63BDF.sol,364.0,/bdata2/sc/dataset/mainnet_bytecode/0x5FF2f23407143E6c9864Cd5c759F6A90baf63BDF.rt.hex,OverflowLoopIterator,0.6.12,SWC-101
/bdata2/sc/dataset/mainnet/0x5FF2f23407143E6c9864Cd5c759F6A90baf63BDF.sol,385.0,/bdata2/sc/dataset/mainnet_bytecode/0x5FF2f23407143E6c9864Cd5c759F6A90baf63BDF.rt.hex,OverflowLoopIterator,0.6.12,SWC-101
/bdata2/sc/dataset/mainnet/0x5FF2f23407143E6c9864Cd5c759F6A90baf63BDF.sol,386.0,/bdata2/sc/dataset/mainnet_bytecode/0x5FF2f23407143E6c9864Cd5c759F6A90baf63BDF.rt.hex,OverflowLoopIterator,0.6.12,SWC-101
/bdata2/sc/dataset/mainnet/0x5FF2f23407143E6c9864Cd5c759F6A90baf63BDF.sol,344.0,/bdata2/sc/dataset/mainnet_bytecode/0x5FF2f23407143E6c9864Cd5c759F6A90baf63BDF.rt.hex,OverflowLoopIterator,0.6.12,SWC-101
/bdata2/sc/dataset/mainnet/0x5FF2f23407143E6c9864Cd5c759F6A90baf63BDF.sol,345.0,/bdata2/sc/dataset/mainnet_bytecode/0x5FF2f23407143E6c9864Cd5c759F6A90baf63BDF.rt.hex,OverflowLoopIterator,0.6.12,SWC-101
/bdata2/sc/dataset/mainnet/0x5FF2f23407143E6c9864Cd5c759F6A90baf63BDF.sol,346.0,/bdata2/sc/dataset/mainnet_bytecode/0x5FF2f23407143E6c9864Cd5c759F6A90baf63BDF.rt.hex,OverflowLoopIterator,0.6.12,SWC-101
/bdata2/sc/dataset/mainnet/0x5FF2f23407143E6c9864Cd5c759F6A90baf63BDF.sol,346.0,/bdata2/sc/dataset/mainnet_bytecode/0x5FF2f23407143E6c9864Cd5c759F6A90baf63BDF.rt.hex,OverflowLoopIterator,0.6.12,SWC-101
/bdata2/sc/dataset/mainnet/0x0743cde04b930cf45c307d99d9c6983c9e1898d8.sol,567.0,/bdata2/sc/dataset/mainnet_bytecode/0x0743cde04b930cf45c307d99d9c6983c9e1898d8.rt.hex,OverflowLoopIterator,0.8.0,SWC-101
/bdata2/sc/dataset/mainnet/0x0743cde04b930cf45c307d99d9c6983c9e1898d8.sol,571.0,/bdata2/sc/dataset/mainnet_bytecode/0x0743cde04b930cf45c307d99d9c6983c9e1898d8.rt.hex,OverflowLoopIterator,0.8.0,SWC-101
