address,location,vulnerability,swc_id,severity,vulnerable_contract,vulnerable_function,compiler,SWC_ID
/bdata2/sc/dataset/mainnet/0xE6C9Db562845aF046e3CA290b4110d8398ce71E9.sol,462.0,Unprotected Selfdestruct,106,High,AdminAuth,kill,0.8.10,SWC-106
/bdata2/sc/dataset/mainnet/0xE6C9Db562845aF046e3CA290b4110d8398ce71E9.sol,463.0,Unprotected Selfdestruct,106,High,McdOpen,kill,0.8.10,SWC-106
/bdata2/sc/dataset/mainnet/0xE6C9Db562845aF046e3CA290b4110d8398ce71E9.sol,1091.0,Unprotected Selfdestruct,106,High,DFSRegistry,kill,0.8.10,SWC-106
/bdata2/sc/dataset/mainnet/0xa4d5d3e56012C1eD8aba4bE246964962DC3F735f.sol,945.0,Unprotected Selfdestruct,106,High,AdminAuth,kill,0.8.10,SWC-106
/bdata2/sc/dataset/mainnet/0xa4d5d3e56012C1eD8aba4bE246964962DC3F735f.sol,,Unprotected Selfdestruct,106,High,DFSRegistry,kill,0.8.10,SWC-106
/bdata2/sc/dataset/mainnet/0xd393582bE148A45585aB202Fa7Cc789Fa5127223.sol,1398.0,Unprotected Selfdestruct,106,High,AdminAuth,kill,0.8.10,SWC-106
/bdata2/sc/dataset/mainnet/0xd393582bE148A45585aB202Fa7Cc789Fa5127223.sol,394.0,Unprotected Selfdestruct,106,High,DFSRegistry,kill,0.8.10,SWC-106
/bdata2/sc/dataset/mainnet/0xd393582bE148A45585aB202Fa7Cc789Fa5127223.sol,411.0,Unprotected Selfdestruct,106,High,FLMaker,kill,0.8.10,SWC-106
/bdata2/sc/dataset/mainnet/0x65e19f967b3f3cb6466110ad238039f5423e3177.sol,1505.0,Unprotected Selfdestruct,106,High,AdminAuth,kill,0.8.10,SWC-106
/bdata2/sc/dataset/mainnet/0x65e19f967b3f3cb6466110ad238039f5423e3177.sol,,Unprotected Selfdestruct,106,High,DFSRegistry,kill,0.8.10,SWC-106
/bdata2/sc/dataset/mainnet/0xa92B177950F1460119940436515FD857C24494BC.sol,410.0,Unprotected Selfdestruct,106,High,AdminAuth,kill,0.8.10,SWC-106
/bdata2/sc/dataset/mainnet/0xa92B177950F1460119940436515FD857C24494BC.sol,411.0,Unprotected Selfdestruct,106,High,TokenBalance,kill,0.8.10,SWC-106
/bdata2/sc/dataset/mainnet/0xa92B177950F1460119940436515FD857C24494BC.sol,314.0,Unprotected Selfdestruct,106,High,DFSRegistry,kill,0.8.10,SWC-106
/bdata2/sc/dataset/mainnet/0xd489ffaeeb46b2d7e377850d45e1f8ca3350fc82.sol,409.0,Unprotected Selfdestruct,106,High,AdminAuth,kill,0.8.10,SWC-106
/bdata2/sc/dataset/mainnet/0xd489ffaeeb46b2d7e377850d45e1f8ca3350fc82.sol,426.0,Unprotected Selfdestruct,106,High,ProxyAuth,kill,0.8.10,SWC-106
/bdata2/sc/dataset/mainnet/0x537a021F3647a64A5a1FEFB7C4D5a5A6DCaE6b9f.sol,,Unprotected Selfdestruct,106,High,AdminAuth,kill,0.8.10,SWC-106
/bdata2/sc/dataset/mainnet/0x537a021F3647a64A5a1FEFB7C4D5a5A6DCaE6b9f.sol,408.0,Unprotected Selfdestruct,106,High,BotAuth,kill,0.8.10,SWC-106
/bdata2/sc/dataset/mainnet/0xE637544390db79EdDE0a9CAF352ED0FfF7451bDB.sol,1252.0,Unprotected Selfdestruct,106,High,AdminAuth,kill,0.8.10,SWC-106
/bdata2/sc/dataset/mainnet/0xE637544390db79EdDE0a9CAF352ED0FfF7451bDB.sol,1299.0,Unprotected Selfdestruct,106,High,DFSRegistry,kill,0.8.10,SWC-106
/bdata2/sc/dataset/mainnet/0x563eF9b1075628E62aDc657702517dEA72ca08d6.sol,407.0,Unprotected Selfdestruct,106,High,AdminAuth,kill,0.8.10,SWC-106
/bdata2/sc/dataset/mainnet/0x563eF9b1075628E62aDc657702517dEA72ca08d6.sol,,Unprotected Selfdestruct,106,High,DFSRegistry,kill,0.8.10,SWC-106
/bdata2/sc/dataset/mainnet/0x827089C5Fc7653655c4080c660Cd8f755F818443.sol,1628.0,Unprotected Selfdestruct,106,High,AdminAuth,kill,0.8.10,SWC-106
/bdata2/sc/dataset/mainnet/0x827089C5Fc7653655c4080c660Cd8f755F818443.sol,1557.0,Unprotected Selfdestruct,106,High,DFSRegistry,kill,0.8.10,SWC-106
/bdata2/sc/dataset/mainnet/0xD56F0EC66267958e08c91547c259cCAC006BF118.sol,1318.0,Unprotected Selfdestruct,106,High,AdminAuth,kill,0.8.10,SWC-106
/bdata2/sc/dataset/mainnet/0xD56F0EC66267958e08c91547c259cCAC006BF118.sol,891.0,Unprotected Selfdestruct,106,High,MStableClaim,kill,0.8.10,SWC-106
/bdata2/sc/dataset/mainnet/0xD56F0EC66267958e08c91547c259cCAC006BF118.sol,,Unprotected Selfdestruct,106,High,DFSRegistry,kill,0.8.10,SWC-106
/bdata2/sc/dataset/mainnet/0xc210f2ba1eF46B02AfDA6F52F7376D13649a6B82.sol,1410.0,Unprotected Selfdestruct,106,High,AdminAuth,kill,0.8.10,SWC-106
/bdata2/sc/dataset/mainnet/0xc210f2ba1eF46B02AfDA6F52F7376D13649a6B82.sol,599.0,Unprotected Selfdestruct,106,High,McdPayback,kill,0.8.10,SWC-106
/bdata2/sc/dataset/mainnet/0xc210f2ba1eF46B02AfDA6F52F7376D13649a6B82.sol,,Unprotected Selfdestruct,106,High,DFSRegistry,kill,0.8.10,SWC-106
/bdata2/sc/dataset/mainnet/0x172f1dB6c58C524A1Ab616a1E65c19B5DF5545ae.sol,398.0,Unprotected Selfdestruct,106,High,AdminAuth,kill,0.8.10,SWC-106
/bdata2/sc/dataset/mainnet/0x172f1dB6c58C524A1Ab616a1E65c19B5DF5545ae.sol,408.0,Unprotected Selfdestruct,106,High,StrategyStorage,kill,0.8.10,SWC-106
/bdata2/sc/dataset/mainnet/0x172f1dB6c58C524A1Ab616a1E65c19B5DF5545ae.sol,,Unprotected Selfdestruct,106,High,DFSRegistry,kill,0.8.10,SWC-106
/bdata2/sc/dataset/mainnet/0x8e8Fd178A5FAE3A29F9CB1A06aBBBCFd5B83beb7.sol,1393.0,Unprotected Selfdestruct,106,High,AdminAuth,kill,0.8.10,SWC-106
/bdata2/sc/dataset/mainnet/0x8e8Fd178A5FAE3A29F9CB1A06aBBBCFd5B83beb7.sol,533.0,Unprotected Selfdestruct,106,High,DFSRegistry,kill,0.8.10,SWC-106
/bdata2/sc/dataset/mainnet/0x287778F121F134C66212FB16c9b53eC991D32f5b.sol,590.0,Unprotected Selfdestruct,106,High,AdminAuth,kill,0.8.10,SWC-106
/bdata2/sc/dataset/mainnet/0x287778F121F134C66212FB16c9b53eC991D32f5b.sol,408.0,Unprotected Selfdestruct,106,High,DFSRegistry,kill,0.8.10,SWC-106
/bdata2/sc/dataset/mainnet/0x3dF75BE8Fb0a6186BE9705cACaa6dD2a4Ec3e40C.sol,1263.0,Unprotected Selfdestruct,106,High,AdminAuth,kill,0.8.10,SWC-106
/bdata2/sc/dataset/mainnet/0x3dF75BE8Fb0a6186BE9705cACaa6dD2a4Ec3e40C.sol,408.0,Unprotected Selfdestruct,106,High,UniMintV3,kill,0.8.10,SWC-106
/bdata2/sc/dataset/mainnet/0x3dF75BE8Fb0a6186BE9705cACaa6dD2a4Ec3e40C.sol,,Unprotected Selfdestruct,106,High,DFSRegistry,kill,0.8.10,SWC-106
/bdata2/sc/dataset/mainnet/0x56eb74b9963bcbd6877ab4bf8e68dabbee13b2bb.sol,,Unprotected Selfdestruct,106,High,AdminAuth,kill,0.8.10,SWC-106
/bdata2/sc/dataset/mainnet/0x56eb74b9963bcbd6877ab4bf8e68dabbee13b2bb.sol,,Unprotected Selfdestruct,106,High,StrategyStorage,kill,0.8.10,SWC-106
/bdata2/sc/dataset/mainnet/0x56eb74b9963bcbd6877ab4bf8e68dabbee13b2bb.sol,408.0,Unprotected Selfdestruct,106,High,BundleStorage,kill,0.8.10,SWC-106
/bdata2/sc/dataset/mainnet/0x56eb74b9963bcbd6877ab4bf8e68dabbee13b2bb.sol,,Unprotected Selfdestruct,106,High,DFSRegistry,kill,0.8.10,SWC-106
/bdata2/sc/dataset/mainnet/0xcc6838d8a61a4b29ea565d39c38b830f1491cb29.sol,1376.0,Unprotected Selfdestruct,106,High,AdminAuth,kill,0.8.10,SWC-106
/bdata2/sc/dataset/mainnet/0xcc6838d8a61a4b29ea565d39c38b830f1491cb29.sol,526.0,Unprotected Selfdestruct,106,High,ReflexerPayback,kill,0.8.10,SWC-106
/bdata2/sc/dataset/mainnet/0xcc6838d8a61a4b29ea565d39c38b830f1491cb29.sol,518.0,Unprotected Selfdestruct,106,High,DFSRegistry,kill,0.8.10,SWC-106
/bdata2/sc/dataset/mainnet/0xf2c87782D6Eff0511e82007119BAC40e9ba86F69.sol,410.0,Unprotected Selfdestruct,106,High,AdminAuth,kill,0.8.10,SWC-106
/bdata2/sc/dataset/mainnet/0xf2c87782D6Eff0511e82007119BAC40e9ba86F69.sol,1170.0,Unprotected Selfdestruct,106,High,DFSRegistry,kill,0.8.10,SWC-106
/bdata2/sc/dataset/mainnet/0xf8bb8F68b0A45DC315F3f7602a60cfb274B00951.sol,1280.0,Unprotected Selfdestruct,106,High,AdminAuth,kill,0.8.10,SWC-106
/bdata2/sc/dataset/mainnet/0xf8bb8F68b0A45DC315F3f7602a60cfb274B00951.sol,628.0,Unprotected Selfdestruct,106,High,UniWithdraw,kill,0.8.10,SWC-106
/bdata2/sc/dataset/mainnet/0xf8bb8F68b0A45DC315F3f7602a60cfb274B00951.sol,,Unprotected Selfdestruct,106,High,DFSRegistry,kill,0.8.10,SWC-106
/bdata2/sc/dataset/mainnet/0xDB6C8cFDd7c1C0F8895CDBC01Dbf4A6D4B6d2a29.sol,514.0,Unprotected Selfdestruct,106,High,AdminAuth,kill,0.8.10,SWC-106
/bdata2/sc/dataset/mainnet/0xDB6C8cFDd7c1C0F8895CDBC01Dbf4A6D4B6d2a29.sol,515.0,Unprotected Selfdestruct,106,High,UnwrapEth,kill,0.8.10,SWC-106
