address,location,filepath,vulnerability,severity,column,compiler,SWC_ID
/bdata2/sc/dataset/mainnet/0xFCe9Ec21365cDEC276d44190F8f7964C952952Ab.sol,744,/bdata2/sc/dataset/mainnet/0xFCe9Ec21365cDEC276d44190F8f7964C952952Ab.sol,SOLIDITY_TX_ORIGIN,2,61,0.8.11,SWC-115
/bdata2/sc/dataset/mainnet/0xFCe9Ec21365cDEC276d44190F8f7964C952952Ab.sol,745,/bdata2/sc/dataset/mainnet/0xFCe9Ec21365cDEC276d44190F8f7964C952952Ab.sol,SOLIDITY_TX_ORIGIN,2,53,0.8.11,SWC-115
/bdata2/sc/dataset/mainnet/0x384d6a02fd47cd467b652692b36510958cea0d7c.sol,1500,/bdata2/sc/dataset/mainnet/0x384d6a02fd47cd467b652692b36510958cea0d7c.sol,SOLIDITY_TX_ORIGIN,2,90,0.8.7,SWC-115
/bdata2/sc/dataset/mainnet/0x384d6a02fd47cd467b652692b36510958cea0d7c.sol,1501,/bdata2/sc/dataset/mainnet/0x384d6a02fd47cd467b652692b36510958cea0d7c.sol,SOLIDITY_TX_ORIGIN,2,24,0.8.7,SWC-115
/bdata2/sc/dataset/mainnet/0x3995c01cdc547fe1f51d5402377dc4d2c45f0183.sol,1035,/bdata2/sc/dataset/mainnet/0x3995c01cdc547fe1f51d5402377dc4d2c45f0183.sol,SOLIDITY_TX_ORIGIN,2,61,0.8.9,SWC-115
/bdata2/sc/dataset/mainnet/0x3995c01cdc547fe1f51d5402377dc4d2c45f0183.sol,1036,/bdata2/sc/dataset/mainnet/0x3995c01cdc547fe1f51d5402377dc4d2c45f0183.sol,SOLIDITY_TX_ORIGIN,2,53,0.8.9,SWC-115
/bdata2/sc/dataset/mainnet/0x26A50C0d3d11269F1C690d5C165be1b403b3110d.sol,228,/bdata2/sc/dataset/mainnet/0x26A50C0d3d11269F1C690d5C165be1b403b3110d.sol,SOLIDITY_TX_ORIGIN,2,55,0.8.17,SWC-115
/bdata2/sc/dataset/mainnet/0x26A50C0d3d11269F1C690d5C165be1b403b3110d.sol,232,/bdata2/sc/dataset/mainnet/0x26A50C0d3d11269F1C690d5C165be1b403b3110d.sol,SOLIDITY_TX_ORIGIN,2,51,0.8.17,SWC-115
/bdata2/sc/dataset/mainnet/0x5dafc5a8c1c90b9acfd9daa11b941e7d19bfae14.sol,1345,/bdata2/sc/dataset/mainnet/0x5dafc5a8c1c90b9acfd9daa11b941e7d19bfae14.sol,SOLIDITY_TX_ORIGIN,2,16,0.8.7,SWC-115
/bdata2/sc/dataset/mainnet/0x2806e2e25480856432edB151e2975b6A49a5E079.sol,247,/bdata2/sc/dataset/mainnet/0x2806e2e25480856432edB151e2975b6A49a5E079.sol,SOLIDITY_TX_ORIGIN,2,37,0.6.12,SWC-115
