address,location,filepath,vulnerability,category,information,compiler,SWC_ID
/bdata2/sc/dataset/mainnet/0x246cb0FD058C4eB4c42889BAf29024DE0c264c2A.sol,106,/bdata2/sc/dataset/mainnet/0x246cb0FD058C4eB4c42889BAf29024DE0c264c2A.sol,accessible-selfdestruct,security,Contract can be destructed by anyone in destroy,0.8.14,SWC-106
/bdata2/sc/dataset/mainnet/0x3aB9fE3bFAAC384ECD5626543c2c5c68bb4CdfAf.sol,13,/bdata2/sc/dataset/mainnet/0x3aB9fE3bFAAC384ECD5626543c2c5c68bb4CdfAf.sol,accessible-selfdestruct,security,Contract can be destructed by anyone in destruct,0.8.4,SWC-106
/bdata2/sc/dataset/mainnet/0x0dD1C99aC9BC48A1d482878ECC8B9760Aa1e8De2.sol,977,/bdata2/sc/dataset/mainnet/0x0dD1C99aC9BC48A1d482878ECC8B9760Aa1e8De2.sol,accessible-selfdestruct,security,Contract can be destructed by anyone in destroyAndSend,v0.4.18,SWC-106
/bdata2/sc/dataset/mainnet/0x70fb60eddf3cda5ad60be93483c17e6937423f28.sol,69,/bdata2/sc/dataset/mainnet/0x70fb60eddf3cda5ad60be93483c17e6937423f28.sol,accessible-selfdestruct,security,Contract can be destructed by anyone in mintInfo,0.8.7,SWC-106
