address,location,vulnerability,impact,vulnerable_elements_type,vulnerable_elements_name,compiler,SWC_ID
/bdata2/sc/dataset/mainnet/0xa83fb84444a4d4ce942df85ed8aa666d440cd5df.sol,,suicidal,High,,,0.5.15,SWC-106
/bdata2/sc/dataset/mainnet/0x059854E7fb3E5E76a40479814A15Ff7087657427.sol,,suicidal,High,,,0.7.6,SWC-106
/bdata2/sc/dataset/mainnet/0x19c630bb6d3e7c2cfe77e2a73627c9bee2db8ac5.sol,,suicidal,High,,,v0.4.24,SWC-106
/bdata2/sc/dataset/mainnet/0xA1C16E4E538A8ff0c8e7b87A7A75f60AA48C12b7.sol,,suicidal,High,,,0.8.0,SWC-106
/bdata2/sc/dataset/mainnet/0xF0B0ccED14b2d1D47C351F5Bc0B33AA79470997e.sol,,suicidal,High,,,0.8.0,SWC-106
/bdata2/sc/dataset/mainnet/0x8fc489fb4999c57c4ffb31b8df2388666797239b.sol,,suicidal,High,,,v0.4.11,SWC-106
/bdata2/sc/dataset/mainnet/0xbc2afc039d2bfa67d582ac181dab5be17ec91f82.sol,,suicidal,High,,,v0.4.25,SWC-106
/bdata2/sc/dataset/mainnet/0xc9A9f14057dEcebFc83BDd40c674B4e74F2E5602.sol,,suicidal,High,,,0.8.9,SWC-106
/bdata2/sc/dataset/mainnet/0xff08da5add3e994788a572643dc5a91eaec0636a.sol,,suicidal,High,,,0.8.7,SWC-106
/bdata2/sc/dataset/mainnet/0xBD3e8d41874bC123fB6913a2a6c6C8984c71876c.sol,,suicidal,High,,,0.8.9,SWC-106
/bdata2/sc/dataset/mainnet/0xebd3a5c8b759bd0c24518e0cd25e18ccbdd724ac.sol,,suicidal,High,,,0.8.9,SWC-106
/bdata2/sc/dataset/mainnet/0xc4f67ffbdfd80cc8e1cceb1c4f51bac74eeda71d.sol,,suicidal,High,,,0.5.15,SWC-106
/bdata2/sc/dataset/mainnet/0xf982d94c1077349fe8db61ef49ef0ba7c6e11774.sol,,suicidal,High,,,v0.4.24,SWC-106
/bdata2/sc/dataset/mainnet/0xac2e5be23611c685676cb8e824303030cdb97fbb.sol,,suicidal,High,,,v0.4.11,SWC-106
/bdata2/sc/dataset/mainnet/0x25880982dcf61796e426280493a47a14c244368e.sol,,suicidal,High,,,v0.4.24,SWC-106
/bdata2/sc/dataset/mainnet/0x0D114dC19B393F60278D142Dca6ee6b34efbED0D.sol,,suicidal,High,,,0.8.7,SWC-106
/bdata2/sc/dataset/mainnet/0x940741ad6e3c25df5cd5ec7550b23a889e8ee57a.sol,,suicidal,High,,,v0.4.21,SWC-106
/bdata2/sc/dataset/mainnet/0xebf3e61a6588a16101e5f8e37b9cf3e0666745ab.sol,,suicidal,High,,,0.8.7,SWC-106
/bdata2/sc/dataset/mainnet/0x780b6e67925e35b98b6ff8a1b2653572af73b8f9.sol,,suicidal,High,,,v0.4.24,SWC-106
/bdata2/sc/dataset/mainnet/0x3f1973769e3a5543e8ca1e422d73481570a441a2.sol,,suicidal,High,,,0.8.7,SWC-106
/bdata2/sc/dataset/mainnet/0x91ab132713F5B5Ab7a26E4320c07166Cedb6B444.sol,,suicidal,High,,,0.8.4,SWC-106
/bdata2/sc/dataset/mainnet/0xf3E331Ef2E9bDa503362562A9a10bb66b4AE834f.sol,,suicidal,High,,,0.6.12,SWC-106
/bdata2/sc/dataset/mainnet/0xb52511f49f3ed76ad1f77998985ee452f29ba0fd.sol,,suicidal,High,,,v0.4.24,SWC-106
/bdata2/sc/dataset/mainnet/0xc801E2cA666FDfcb43CF29B972d7f3731436E4A1.sol,,suicidal,High,,,v0.4.16,SWC-106
/bdata2/sc/dataset/mainnet/0x08399bF60B6C28B75963bEfac2aB259c8a4d2e2a.sol,,suicidal,High,,,0.7.4,SWC-106
/bdata2/sc/dataset/mainnet/0x0d7B5C0d3BC6c1ccc6AEFaa26A084134D6f2a7Da.sol,,suicidal,High,,,0.8.7,SWC-106
/bdata2/sc/dataset/mainnet/0x735ba26f91e1275fa4b504649b19ef74739fe7e7.sol,,suicidal,High,,,v0.4.22,SWC-106
/bdata2/sc/dataset/mainnet/0x633d4a2a8d5f498dfbb8a9f59230f0a9d1446df4.sol,,suicidal,High,,,v0.4.16,SWC-106
/bdata2/sc/dataset/mainnet/0x5f30dca1c90708e8b5b0b047be6b73e4bcae6238.sol,,suicidal,High,,,v0.4.24,SWC-106
/bdata2/sc/dataset/mainnet/0x97a64e9e7a2d4a2c3e810c41d8842d673d32537e.sol,,suicidal,High,,,v0.4.21,SWC-106
/bdata2/sc/dataset/mainnet/0x4e14eb4962c24c0e23643caa5dac7b336537bb84.sol,,suicidal,High,,,0.6.12,SWC-106
/bdata2/sc/dataset/mainnet/0xfa1d63b87f40c92d27bfb255419c1ea8c49086de.sol,,suicidal,High,,,v0.4.16,SWC-106
/bdata2/sc/dataset/mainnet/0x4e4478891f3e97dd79f08a0d483d3a5dffb78d45.sol,,suicidal,High,,,0.8.13,SWC-106
/bdata2/sc/dataset/mainnet/0x7bb191714f039ff944175489f07346710aff17b9.sol,,suicidal,High,,,0.8.17,SWC-106
/bdata2/sc/dataset/mainnet/0x5c8546a7b86ba30202c09a84f5a72644a2a4f7ba.sol,,suicidal,High,,,v0.4.24,SWC-106
/bdata2/sc/dataset/mainnet/0x2a8c1742603cfa9ab2b300b6f0ffc46f49d35f32.sol,,suicidal,High,,,v0.4.23,SWC-106
/bdata2/sc/dataset/mainnet/0x76bcE5895946Cf7B6CFd6d8c4aB2E21E821f3Eda.sol,,suicidal,High,,,0.8.12,SWC-106
/bdata2/sc/dataset/mainnet/0x0bb6ef61De7ba74C669Ee090113EEEb9Ae3be371.sol,,suicidal,High,,,0.8.9,SWC-106
/bdata2/sc/dataset/mainnet/0x3aB9fE3bFAAC384ECD5626543c2c5c68bb4CdfAf.sol,,suicidal,High,,,0.8.4,SWC-106
/bdata2/sc/dataset/mainnet/0xb97fd8b99d4e1ec87b0d518f6a0283b23ac10e8f.sol,,suicidal,High,,,0.8.17,SWC-106
/bdata2/sc/dataset/mainnet/0x5Fd574abf36c6229B7AdF7f90B3EdFaeAf6fAD7c.sol,,suicidal,High,,,0.7.6,SWC-106
/bdata2/sc/dataset/mainnet/0xdAc354Dc9F57d21682821d93f85e62628850ecbe.sol,,suicidal,High,,,0.7.6,SWC-106
/bdata2/sc/dataset/mainnet/0x5cf3ec929aa3f5cfdb5505b04abb29ad4e98a9c0.sol,,suicidal,High,,,0.8.10,SWC-106
/bdata2/sc/dataset/mainnet/0x85302fcc8e5ed7e6182f65e9801dcdfed89bc52f.sol,,suicidal,High,,,v0.4.21,SWC-106
/bdata2/sc/dataset/mainnet/0xdACbda76132349024815760400Fb28d32fCB315a.sol,,suicidal,High,,,0.7.6,SWC-106
/bdata2/sc/dataset/mainnet/0x895Bb7d784bba3D2281EDee113D34c8f97D6E840.sol,,suicidal,High,,,0.7.6,SWC-106
/bdata2/sc/dataset/mainnet/0x8C1b04A1E727517079D2D6d4d1578f533eACB6Ac.sol,,suicidal,High,,,0.7.6,SWC-106
/bdata2/sc/dataset/mainnet/0x70fb60eddf3cda5ad60be93483c17e6937423f28.sol,,suicidal,High,,,0.8.7,SWC-106
/bdata2/sc/dataset/mainnet/0x02c4e38db3d48ec40ed4db512fb7bc8fe70c9833.sol,,suicidal,High,,,0.5.15,SWC-106
/bdata2/sc/dataset/mainnet/0xf3319a43b922e2ee5c33fb83b8a860344d8279bb.sol,,suicidal,High,,,v0.4.21,SWC-106
