address,vulnerability,compiler,SWC_ID,tools
0xc2B8f8423bc8Fe2e9A44cA9d364d835D1751b725,AccessibleSelfdestruct,8,SWC-106,ethainter
0xd891f499260aF046B4d4324cBEB84d02a6D61195,AccessibleSelfdestruct,8,SWC-106,ethainter
0x03347abb58cc3071fdbba7f7bd7cca03c8e04229,AccessibleSelfdestruct,4,SWC-106,ethainter
0x64c6ba14ef4e77ae7d61687382ec0aa58a73544c,AccessibleSelfdestruct,4,SWC-106,ethainter
0xf982d94c1077349fe8db61ef49ef0ba7c6e11774,AccessibleSelfdestruct,4,SWC-106,ethainter
0xf3b8ed45284a7eee12bbfc373dd40f56fee61253,AccessibleSelfdestruct,4,SWC-106,ethainter
0xaaF8F4ABC7AC6519c9fb06DA0c08c4aa62F36f4D,AccessibleSelfdestruct,8,SWC-106,ethainter
0xbc2afc039d2bfa67d582ac181dab5be17ec91f82,AccessibleSelfdestruct,4,SWC-106,ethainter
0xa290bdae65638c083e860b05009f290140fc0379,AccessibleSelfdestruct,7,SWC-106,ethainter
0xe06fc1cbd78eb0799d5b0ca62d51b065886e08fc,AccessibleSelfdestruct,7,SWC-106,ethainter
0xd2dc5da4172a3901c9f26c7cd29efe656fc20332,AccessibleSelfdestruct,7,SWC-106,ethainter
0xcdef35425579fc566b6ee0499a79256ac88d25cf,AccessibleSelfdestruct,7,SWC-106,ethainter
0x6467a24950451b3abd6654fb6d8ae01635dcfe00,AccessibleSelfdestruct,7,SWC-106,ethainter
0x66c7f4c7e59b6e780142aad5c9f427fa5f8dffc6,AccessibleSelfdestruct,7,SWC-106,ethainter
0x5a2e638de65323c55f1245f920b84db4603002ee,AccessibleSelfdestruct,7,SWC-106,ethainter
0xeecee260a402fe3c20e5b8301382005124bef121,AccessibleSelfdestruct,7,SWC-106,ethainter
0xb297ed15f3f1cc7ce7b4cc8084ab0830f75c812f,AccessibleSelfdestruct,8,SWC-106,ethainter
0x0779f8f2da25f25c7c568f4abcced8d0e6d48ffc,AccessibleSelfdestruct,5,SWC-106,ethainter
0xb9b2b770e023bbf0b9ddae53a09e3b03ce0f685f,AccessibleSelfdestruct,4,SWC-106,ethainter
0xec828053b92a3f1611ab9a3b4b0e3e8fc93a4561,AccessibleSelfdestruct,8,SWC-106,ethainter
