address,location,filepath,vulnerability,category,information,compiler,SWC_ID
/bdata2/sc/dataset/mainnet/0x086C40819110fc0B3953eaeC21577133bd0834Ba.sol,367,/bdata2/sc/dataset/mainnet/0x086C40819110fc0B3953eaeC21577133bd0834Ba.sol,basic-arithmetic-underflow,security,Possible arithmetic underflow,0.6.12,SWC-101
/bdata2/sc/dataset/mainnet/0xFB9530E5519De46163618C0aa2366655AD3de9f2.sol,1120,/bdata2/sc/dataset/mainnet/0xFB9530E5519De46163618C0aa2366655AD3de9f2.sol,basic-arithmetic-underflow,security,Possible arithmetic underflow,0.8.17,SWC-101
/bdata2/sc/dataset/mainnet/0xec75e168B10041F81D49249fc6aaD94983DFb37C.sol,1672,/bdata2/sc/dataset/mainnet/0xec75e168B10041F81D49249fc6aaD94983DFb37C.sol,basic-arithmetic-underflow,security,Possible arithmetic underflow,0.8.4,SWC-101
/bdata2/sc/dataset/mainnet/0x5b8042567AdB96Ec8D004A41754244fc8563A92c.sol,6767,/bdata2/sc/dataset/mainnet/0x5b8042567AdB96Ec8D004A41754244fc8563A92c.sol,basic-arithmetic-underflow,security,Possible arithmetic underflow,0.8.3,SWC-101
/bdata2/sc/dataset/mainnet/0x5b8042567AdB96Ec8D004A41754244fc8563A92c.sol,6769,/bdata2/sc/dataset/mainnet/0x5b8042567AdB96Ec8D004A41754244fc8563A92c.sol,basic-arithmetic-underflow,security,Possible arithmetic underflow,0.8.3,SWC-101
/bdata2/sc/dataset/mainnet/0xdf02a6c2e50BA1422aC7d34f56419160ef7a2707.sol,6769,/bdata2/sc/dataset/mainnet/0xdf02a6c2e50BA1422aC7d34f56419160ef7a2707.sol,basic-arithmetic-underflow,security,Possible arithmetic underflow,0.8.3,SWC-101
/bdata2/sc/dataset/mainnet/0xdf02a6c2e50BA1422aC7d34f56419160ef7a2707.sol,6771,/bdata2/sc/dataset/mainnet/0xdf02a6c2e50BA1422aC7d34f56419160ef7a2707.sol,basic-arithmetic-underflow,security,Possible arithmetic underflow,0.8.3,SWC-101
/bdata2/sc/dataset/mainnet/0x25b38eA4CB669d587Cdb6A0d215b1dD885c1eb80.sol,6771,/bdata2/sc/dataset/mainnet/0x25b38eA4CB669d587Cdb6A0d215b1dD885c1eb80.sol,basic-arithmetic-underflow,security,Possible arithmetic underflow,0.8.3,SWC-101
/bdata2/sc/dataset/mainnet/0x25b38eA4CB669d587Cdb6A0d215b1dD885c1eb80.sol,6773,/bdata2/sc/dataset/mainnet/0x25b38eA4CB669d587Cdb6A0d215b1dD885c1eb80.sol,basic-arithmetic-underflow,security,Possible arithmetic underflow,0.8.3,SWC-101
/bdata2/sc/dataset/mainnet/0x0aaf33aecb9b5561fed882abe6c1cbff0c0052fd.sol,262,/bdata2/sc/dataset/mainnet/0x0aaf33aecb9b5561fed882abe6c1cbff0c0052fd.sol,basic-arithmetic-underflow,security,Possible arithmetic underflow,0.6.12,SWC-101
/bdata2/sc/dataset/mainnet/0x34c8ab3bda8e1b68a4f69766e2d4f71f39c8ec09.sol,262,/bdata2/sc/dataset/mainnet/0x34c8ab3bda8e1b68a4f69766e2d4f71f39c8ec09.sol,basic-arithmetic-underflow,security,Possible arithmetic underflow,0.6.12,SWC-101
/bdata2/sc/dataset/mainnet/0xfA55d407F48849aE98a6e4f11Dc5C18E035F46Ec.sol,517,/bdata2/sc/dataset/mainnet/0xfA55d407F48849aE98a6e4f11Dc5C18E035F46Ec.sol,basic-arithmetic-underflow,security,Possible arithmetic underflow,0.8.12,SWC-101
/bdata2/sc/dataset/mainnet/0xEdBf8F73908c86a89f4D42344c8e01b82fE4Aaa6.sol,1010,/bdata2/sc/dataset/mainnet/0xEdBf8F73908c86a89f4D42344c8e01b82fE4Aaa6.sol,basic-arithmetic-underflow,security,Possible arithmetic underflow,0.7.6,SWC-101
/bdata2/sc/dataset/mainnet/0xEdBf8F73908c86a89f4D42344c8e01b82fE4Aaa6.sol,1083,/bdata2/sc/dataset/mainnet/0xEdBf8F73908c86a89f4D42344c8e01b82fE4Aaa6.sol,basic-arithmetic-underflow,security,Possible arithmetic underflow,0.7.6,SWC-101
/bdata2/sc/dataset/mainnet/0x8B854cB4e496E905fe11A950B7EE56985a9Ad5f3.sol,1701,/bdata2/sc/dataset/mainnet/0x8B854cB4e496E905fe11A950B7EE56985a9Ad5f3.sol,basic-arithmetic-underflow,security,Possible arithmetic underflow,0.8.7,SWC-101
/bdata2/sc/dataset/mainnet/0x79116dd1c16ab91b17CcC6DdbCf1C87b0F505Ef3.sol,1655,/bdata2/sc/dataset/mainnet/0x79116dd1c16ab91b17CcC6DdbCf1C87b0F505Ef3.sol,basic-arithmetic-underflow,security,Possible arithmetic underflow,0.6.12,SWC-101
/bdata2/sc/dataset/mainnet/0x79116dd1c16ab91b17CcC6DdbCf1C87b0F505Ef3.sol,1657,/bdata2/sc/dataset/mainnet/0x79116dd1c16ab91b17CcC6DdbCf1C87b0F505Ef3.sol,basic-arithmetic-underflow,security,Possible arithmetic underflow,0.6.12,SWC-101
/bdata2/sc/dataset/mainnet/0x9B073379C2fCfb335F18aE88bb24bdC50D7c3B08.sol,1075,/bdata2/sc/dataset/mainnet/0x9B073379C2fCfb335F18aE88bb24bdC50D7c3B08.sol,basic-arithmetic-underflow,security,Possible arithmetic underflow,0.6.12,SWC-101
/bdata2/sc/dataset/mainnet/0x5057aA704CA93DE3c2F5b012bd2bb0BAC4837620.sol,951,/bdata2/sc/dataset/mainnet/0x5057aA704CA93DE3c2F5b012bd2bb0BAC4837620.sol,basic-arithmetic-underflow,security,Possible arithmetic underflow,0.6.12,SWC-101
/bdata2/sc/dataset/mainnet/0x5057aA704CA93DE3c2F5b012bd2bb0BAC4837620.sol,953,/bdata2/sc/dataset/mainnet/0x5057aA704CA93DE3c2F5b012bd2bb0BAC4837620.sol,basic-arithmetic-underflow,security,Possible arithmetic underflow,0.6.12,SWC-101
/bdata2/sc/dataset/mainnet/0x3fE5Fd00D0E3Abce4AE8044f896408e4960e98d7.sol,1412,/bdata2/sc/dataset/mainnet/0x3fE5Fd00D0E3Abce4AE8044f896408e4960e98d7.sol,basic-arithmetic-underflow,security,Possible arithmetic underflow,0.6.12,SWC-101
/bdata2/sc/dataset/mainnet/0x3fE5Fd00D0E3Abce4AE8044f896408e4960e98d7.sol,1414,/bdata2/sc/dataset/mainnet/0x3fE5Fd00D0E3Abce4AE8044f896408e4960e98d7.sol,basic-arithmetic-underflow,security,Possible arithmetic underflow,0.6.12,SWC-101
/bdata2/sc/dataset/mainnet/0xC6B6A311D8c5edE27dd5457B74D60BdE101E15cA.sol,240,/bdata2/sc/dataset/mainnet/0xC6B6A311D8c5edE27dd5457B74D60BdE101E15cA.sol,basic-arithmetic-underflow,security,Possible arithmetic underflow,0.6.12,SWC-101
/bdata2/sc/dataset/mainnet/0xC6B6A311D8c5edE27dd5457B74D60BdE101E15cA.sol,242,/bdata2/sc/dataset/mainnet/0xC6B6A311D8c5edE27dd5457B74D60BdE101E15cA.sol,basic-arithmetic-underflow,security,Possible arithmetic underflow,0.6.12,SWC-101
/bdata2/sc/dataset/mainnet/0xe1df40187d647c28c38fee43296c71783f7b8642.sol,262,/bdata2/sc/dataset/mainnet/0xe1df40187d647c28c38fee43296c71783f7b8642.sol,basic-arithmetic-underflow,security,Possible arithmetic underflow,0.6.12,SWC-101
/bdata2/sc/dataset/mainnet/0x069d7af2443e7e9c7f3228a1f739a92decfe65fc.sol,262,/bdata2/sc/dataset/mainnet/0x069d7af2443e7e9c7f3228a1f739a92decfe65fc.sol,basic-arithmetic-underflow,security,Possible arithmetic underflow,0.6.12,SWC-101
/bdata2/sc/dataset/mainnet/0xa6b5af35cb5e9b3b9ad77c69597d8ba04ee1fef8.sol,262,/bdata2/sc/dataset/mainnet/0xa6b5af35cb5e9b3b9ad77c69597d8ba04ee1fef8.sol,basic-arithmetic-underflow,security,Possible arithmetic underflow,0.6.12,SWC-101
/bdata2/sc/dataset/mainnet/0x4fd5f2824516a74d3ee80598f35f685b5e5bc48c.sol,262,/bdata2/sc/dataset/mainnet/0x4fd5f2824516a74d3ee80598f35f685b5e5bc48c.sol,basic-arithmetic-underflow,security,Possible arithmetic underflow,0.6.12,SWC-101
/bdata2/sc/dataset/mainnet/0xf0660b9a3eaf3a821966ff5a7a1f93e19aa03c00.sol,262,/bdata2/sc/dataset/mainnet/0xf0660b9a3eaf3a821966ff5a7a1f93e19aa03c00.sol,basic-arithmetic-underflow,security,Possible arithmetic underflow,0.6.12,SWC-101
/bdata2/sc/dataset/mainnet/0xdb3A46896d2855e7932fC8Ea5A8465Fd07F7Fb57.sol,78,/bdata2/sc/dataset/mainnet/0xdb3A46896d2855e7932fC8Ea5A8465Fd07F7Fb57.sol,basic-arithmetic-underflow,security,Possible arithmetic underflow,0.8.10,SWC-101
/bdata2/sc/dataset/mainnet/0x6b75f436b9cae0d69dbf80e4ab6e278e8b3fe8df.sol,3252,/bdata2/sc/dataset/mainnet/0x6b75f436b9cae0d69dbf80e4ab6e278e8b3fe8df.sol,basic-arithmetic-underflow,security,Possible arithmetic underflow,0.8.4,SWC-101
/bdata2/sc/dataset/mainnet/0xd7c1b48877a7dfa7d51cf1144c89c0a3f134f935.sol,398,/bdata2/sc/dataset/mainnet/0xd7c1b48877a7dfa7d51cf1144c89c0a3f134f935.sol,basic-arithmetic-underflow,security,Possible arithmetic underflow,0.8.10,SWC-101
/bdata2/sc/dataset/mainnet/0x45F17B18134B4398468A5bcdCdf22f0e1cAbEad5.sol,2106,/bdata2/sc/dataset/mainnet/0x45F17B18134B4398468A5bcdCdf22f0e1cAbEad5.sol,basic-arithmetic-underflow,security,Possible arithmetic underflow,0.7.6,SWC-101
/bdata2/sc/dataset/mainnet/0x7e05aB4FD91fC097c2503af1392CD9D1bFe70De4.sol,6734,/bdata2/sc/dataset/mainnet/0x7e05aB4FD91fC097c2503af1392CD9D1bFe70De4.sol,basic-arithmetic-underflow,security,Possible arithmetic underflow,0.8.3,SWC-101
/bdata2/sc/dataset/mainnet/0x7e05aB4FD91fC097c2503af1392CD9D1bFe70De4.sol,6736,/bdata2/sc/dataset/mainnet/0x7e05aB4FD91fC097c2503af1392CD9D1bFe70De4.sol,basic-arithmetic-underflow,security,Possible arithmetic underflow,0.8.3,SWC-101
