address,location,vulnerability,swc_id,severity,vulnerable_contract,vulnerable_function,compiler,SWC_ID
/bdata2/sc/dataset/mainnet/0xcb1cc66e52c6a93077c15d08503aa57560364cde.sol,249.0,Unprotected Ether Withdrawal,105,High,RefundVault,refund,v0.4.21,SWC-105
/bdata2/sc/dataset/mainnet/0xe14eac83b3bb1bb7b265bf298c348264f8399834.sol,94.0,Unprotected Ether Withdrawal,105,High,HubTokenPurchase,approve_unwanted_tokens,v0.4.23,SWC-105
/bdata2/sc/dataset/mainnet/0xe14eac83b3bb1bb7b265bf298c348264f8399834.sol,100.0,Unprotected Ether Withdrawal,105,High,HubTokenPurchase,emergency_withdraw,v0.4.23,SWC-105
/bdata2/sc/dataset/mainnet/0xacfbc0cac678a020b919cbd17d3beb20b7c4c8f3.sol,80.0,Unprotected Ether Withdrawal,105,High,StorageBase,withdrawBalance,v0.4.21,SWC-105
/bdata2/sc/dataset/mainnet/0xacfbc0cac678a020b919cbd17d3beb20b7c4c8f3.sol,30.0,Unprotected Ether Withdrawal,105,High,ActivityStorage,withdrawBalance,v0.4.21,SWC-105
/bdata2/sc/dataset/mainnet/0x26B5962250B779ab0F33970738A46FcFb00a70b9.sol,77.0,Unprotected Ether Withdrawal,105,High,NewLottery,withdraw,v0.4.23,SWC-105
/bdata2/sc/dataset/mainnet/0x7daa6b6a7c761315c75cb080f3baa2c310a0c60f.sol,248.0,Unprotected Ether Withdrawal,105,High,RapidProfit,withdrawOwnerEth,v0.4.23,SWC-105
/bdata2/sc/dataset/mainnet/0x69f11196e189dd445dc1ffb985636692a34cbe33.sol,76.0,Unprotected Ether Withdrawal,105,High,BancorHandler,performSell,v0.4.21,SWC-105
/bdata2/sc/dataset/mainnet/0xc6fec2f3d7fa123671f2af8698e845bd4aecc09d.sol,17.0,Unprotected Ether Withdrawal,105,High,TxnFee,fallback,v0.4.24,SWC-105
/bdata2/sc/dataset/mainnet/0x2fE321bBb468D71Cc392Dd95082eFeF181DF2038.sol,41.0,Unprotected Ether Withdrawal,105,High,private_TRANSFER,GetGift,v0.4.20,SWC-105
/bdata2/sc/dataset/mainnet/0x6f905E47d3e6A9Cc286b8250181Ee5A0441Acc81.sol,41.0,Unprotected Ether Withdrawal,105,High,PRESENT_1_ETH,GetGift,v0.4.19,SWC-105
/bdata2/sc/dataset/mainnet/0x75658ed3DbA1E12644d2CD9272BA9ee888f4c417.sol,41.0,Unprotected Ether Withdrawal,105,High,PrivateGift,GetGift,v0.4.19,SWC-105
/bdata2/sc/dataset/mainnet/0x83011039a24b1fce5e848cbdded20c0a6e14cbf7.sol,58.0,Unprotected Ether Withdrawal,105,High,AddressProxy,exec,v0.4.22,SWC-105
/bdata2/sc/dataset/mainnet/0x83011039a24b1fce5e848cbdded20c0a6e14cbf7.sol,76.0,Unprotected Ether Withdrawal,105,High,AddressProxy,execCustom,v0.4.22,SWC-105
/bdata2/sc/dataset/mainnet/0x83011039a24b1fce5e848cbdded20c0a6e14cbf7.sol,66.0,Unprotected Ether Withdrawal,105,High,AddressProxy,sendEther,v0.4.22,SWC-105
/bdata2/sc/dataset/mainnet/0x3Ec5ad8F342241D326bb9B301789e8caD74E4266.sol,33.0,Unprotected Ether Withdrawal,105,High,MainSale,forwardFunds,v0.4.21,SWC-105
/bdata2/sc/dataset/mainnet/0x686847351a61eb1cae8ac0efa4208ff689fd53f2.sol,41.0,Unprotected Ether Withdrawal,105,High,Gift_for_friend,GetGift,v0.4.19,SWC-105
/bdata2/sc/dataset/mainnet/0xe4bd56cbf537074e3836a1721983107cce9e689f.sol,,Unprotected Ether Withdrawal,105,High,PepeCore,withdrawContractBalance,v0.4.23,SWC-105
/bdata2/sc/dataset/mainnet/0xdd16ef1b7f30cbebf00807515375dc252957713b.sol,240.0,Unprotected Ether Withdrawal,105,High,Withdrawable,withdrawEther,v0.4.23,SWC-105
/bdata2/sc/dataset/mainnet/0x489e2685f9601b23c2316e87c6dbb30355a8a813.sol,94.0,Unprotected Ether Withdrawal,105,High,HubTokenInvestment,approve_unwanted_tokens,v0.4.23,SWC-105
/bdata2/sc/dataset/mainnet/0x489e2685f9601b23c2316e87c6dbb30355a8a813.sol,100.0,Unprotected Ether Withdrawal,105,High,HubTokenInvestment,emergency_withdraw,v0.4.23,SWC-105
/bdata2/sc/dataset/mainnet/0xB11E0464CBCf0A06BBE29d8882c9FC7a96CcA9FB.sol,78.0,Unprotected Ether Withdrawal,105,High,NewLottery,withdraw,v0.4.23,SWC-105
/bdata2/sc/dataset/mainnet/0xaec8162438b83646518F3Bf3a70B048979f81Fab.sol,41.0,Unprotected Ether Withdrawal,105,High,DEDICATED,GetGift,v0.4.19,SWC-105
/bdata2/sc/dataset/mainnet/0x91d54d763d84cdc15007de426492ee1ac582bffc.sol,128.0,Unprotected Ether Withdrawal,105,High,EphronIndiaCoinICO,finalize,v0.4.23,SWC-105
/bdata2/sc/dataset/mainnet/0x91d54d763d84cdc15007de426492ee1ac582bffc.sol,118.0,Unprotected Ether Withdrawal,105,High,EphronIndiaCoinICO,manualExchange,v0.4.23,SWC-105
/bdata2/sc/dataset/mainnet/0xa15b1560793dbd9bd6fcad4956772fd1d0894e5e.sol,196.0,Unprotected Ether Withdrawal,105,High,YoobaEarlyInvest,fallback,v0.4.23,SWC-105
/bdata2/sc/dataset/mainnet/0x020b2b2c8b515f0e7af20f2ef2f313945210e8d0.sol,108.0,Unprotected Ether Withdrawal,105,High,BeatOrgTokenPostSale,fallback,v0.4.18,SWC-105
/bdata2/sc/dataset/mainnet/0x020b2b2c8b515f0e7af20f2ef2f313945210e8d0.sol,108.0,Unprotected Ether Withdrawal,105,High,BeatOrgTokenPostSale,buyTokens,v0.4.18,SWC-105
/bdata2/sc/dataset/mainnet/0x5e2d66856a2fc7eaf843d65721e2ea20c4e8b233.sol,,Unprotected Ether Withdrawal,105,High,StorageBase,withdrawBalance,v0.4.21,SWC-105
/bdata2/sc/dataset/mainnet/0xcf23cc2031f8c0680d682aec959ae3e1e28f7f3d.sol,133.0,Unprotected Ether Withdrawal,105,High,RefundVault,close,v0.4.21,SWC-105
/bdata2/sc/dataset/mainnet/0xcf23cc2031f8c0680d682aec959ae3e1e28f7f3d.sol,146.0,Unprotected Ether Withdrawal,105,High,RefundVault,refund,v0.4.21,SWC-105
/bdata2/sc/dataset/mainnet/0xE3b0fE57F7DE3281579a504DCc3af491AFbb23e5.sol,41.0,Unprotected Ether Withdrawal,105,High,private_gift,GetGift,v0.4.20,SWC-105
/bdata2/sc/dataset/mainnet/0xebfb9777124fed74aa8db2c6ab982116271a03b0.sol,152.0,Unprotected Ether Withdrawal,105,High,B0xAccount,withdraw,v0.4.23,SWC-105
/bdata2/sc/dataset/mainnet/0xa94ade3d44a6bb69bb115751b4a999c7b6761d71.sol,119.0,Unprotected Ether Withdrawal,105,High,TeamFund,withdrawEther,v0.4.23,SWC-105
/bdata2/sc/dataset/mainnet/0x049135b904148a0cf263f064d7f7c702dd34d72e.sol,630.0,Unprotected Ether Withdrawal,105,High,RefundVault,close,v0.4.21,SWC-105
/bdata2/sc/dataset/mainnet/0x049135b904148a0cf263f064d7f7c702dd34d72e.sol,252.0,Unprotected Ether Withdrawal,105,High,RefundVault,refund,v0.4.21,SWC-105
/bdata2/sc/dataset/mainnet/0xea5d9e993e1133d0419a9e3fdde3654a08be7eed.sol,255.0,Unprotected Ether Withdrawal,105,High,MonarchyGame,sendPrize,v0.4.23,SWC-105
/bdata2/sc/dataset/mainnet/0xea5d9e993e1133d0419a9e3fdde3654a08be7eed.sol,257.0,Unprotected Ether Withdrawal,105,High,MonarchyGame,sendPrize,v0.4.23,SWC-105
/bdata2/sc/dataset/mainnet/0xc57fc2c9fd3130933bd29f01ff940dc52bc4115b.sol,42.0,Unprotected Ether Withdrawal,105,High,CryptoRoulette,play,v0.4.23,SWC-105
/bdata2/sc/dataset/mainnet/0xc0dd00590ad0fbffe2f567651d075ea48435dc89.sol,60.0,Unprotected Ether Withdrawal,105,High,SayIt,transferOut,v0.4.23,SWC-105
/bdata2/sc/dataset/mainnet/0xb42211a1b3ae2ec02454850790c02b683abf9dda.sol,,Unprotected Ether Withdrawal,105,High,Vault,withdrawToWallet,v0.4.23,SWC-105
/bdata2/sc/dataset/mainnet/0x452ee11eb4ed8e709c510659f31c4942c14ff608.sol,30.0,Unprotected Ether Withdrawal,105,High,EthMash,userWithdraw,v0.4.23,SWC-105
/bdata2/sc/dataset/mainnet/0x2cc8e271F11934F5Fa15942dFDa2b59432C2E0f3.sol,41.0,Unprotected Ether Withdrawal,105,High,privateTransfer,GetGift,v0.4.19,SWC-105
/bdata2/sc/dataset/mainnet/0x86d10bc02bd0c154f133ee529ec6185393ade77c.sol,119.0,Unprotected Ether Withdrawal,105,High,TeamFund,withdrawEther,v0.4.23,SWC-105
/bdata2/sc/dataset/mainnet/0x2a37f3c4ce5ee6b1dbcdb593b21eee1c418ad403.sol,654.0,Unprotected Ether Withdrawal,105,High,FlightDelayLedger,sendFunds,v0.4.18,SWC-105
/bdata2/sc/dataset/mainnet/0x2a37f3c4ce5ee6b1dbcdb593b21eee1c418ad403.sol,660.0,Unprotected Ether Withdrawal,105,High,FlightDelayLedger,sendFunds,v0.4.18,SWC-105
/bdata2/sc/dataset/mainnet/0x2a37f3c4ce5ee6b1dbcdb593b21eee1c418ad403.sol,661.0,Unprotected Ether Withdrawal,105,High,FlightDelayLedger,sendFunds,v0.4.18,SWC-105
/bdata2/sc/dataset/mainnet/0x2a37f3c4ce5ee6b1dbcdb593b21eee1c418ad403.sol,621.0,Unprotected Ether Withdrawal,105,High,FlightDelayLedger,withdraw,v0.4.18,SWC-105
/bdata2/sc/dataset/mainnet/0x2a37f3c4ce5ee6b1dbcdb593b21eee1c418ad403.sol,643.0,Unprotected Ether Withdrawal,105,High,FlightDelayLedger,sendFunds,v0.4.18,SWC-105
/bdata2/sc/dataset/mainnet/0x56968ed69c4269eaad419af20a22c4c16f2f5005.sol,94.0,Unprotected Ether Withdrawal,105,High,HubTokenPurchase,approve_unwanted_tokens,v0.4.23,SWC-105
/bdata2/sc/dataset/mainnet/0x56968ed69c4269eaad419af20a22c4c16f2f5005.sol,100.0,Unprotected Ether Withdrawal,105,High,HubTokenPurchase,emergency_withdraw,v0.4.23,SWC-105
/bdata2/sc/dataset/mainnet/0xa269ff96f92f752be7e311fb8b933669cb79dc06.sol,35.0,Unprotected Ether Withdrawal,105,High,Prod,fallback,v0.4.23,SWC-105
/bdata2/sc/dataset/mainnet/0xde39859237f5ff14926b194c3ef72e3213d3c665.sol,261.0,Unprotected Ether Withdrawal,105,High,Dex,trade,v0.4.23,SWC-105
/bdata2/sc/dataset/mainnet/0x46a26aa39265eb39f2ed97765f0c93d8f107b55d.sol,36.0,Unprotected Ether Withdrawal,105,High,RoyalETHBridge,withdraw,0.4.17,SWC-105
/bdata2/sc/dataset/mainnet/0x797e1a863a83dddb9b53dde9805a7998d93ec080.sol,129.0,Unprotected Ether Withdrawal,105,High,oracle,withdraw,0.5.17,SWC-105
/bdata2/sc/dataset/mainnet/0x4e521FF388c83b4c945a33984ba42Efb73Cc04e6.sol,,Unprotected Ether Withdrawal,105,High,WrapNZap,fallback,0.8.1,SWC-105
