address,location,filepath,vulnerability,category,information,compiler,SWC_ID
/bdata2/sc/dataset/mainnet/0xdcbdb7306c6ff46f77b349188dc18ced9df30299.sol,2468,/bdata2/sc/dataset/mainnet/0xdcbdb7306c6ff46f77b349188dc18ced9df30299.sol,compound-sweeptoken-not-restricted,security,Function sweepToken is allowed to be called by anyone,0.5.17,SWC-105
/bdata2/sc/dataset/mainnet/0xbb04B991Bf9bD7c47F45348119469f81c447F7a4.sol,2494,/bdata2/sc/dataset/mainnet/0xbb04B991Bf9bD7c47F45348119469f81c447F7a4.sol,compound-sweeptoken-not-restricted,security,Function sweepToken is allowed to be called by anyone,0.6.12,SWC-105
/bdata2/sc/dataset/mainnet/0x61fBbf0db3ab1dFF4a56CB82501224e5CaC73E41.sol,2408,/bdata2/sc/dataset/mainnet/0x61fBbf0db3ab1dFF4a56CB82501224e5CaC73E41.sol,compound-sweeptoken-not-restricted,security,Function sweepToken is allowed to be called by anyone,0.6.12,SWC-105
/bdata2/sc/dataset/mainnet/0xD9a9A61d188d275c8d4F14DAd29624C5054D25bb.sol,2415,/bdata2/sc/dataset/mainnet/0xD9a9A61d188d275c8d4F14DAd29624C5054D25bb.sol,compound-sweeptoken-not-restricted,security,Function sweepToken is allowed to be called by anyone,0.6.12,SWC-105
/bdata2/sc/dataset/mainnet/0xF3997658374347Aaf6aD33A0721c9abf61E182a6.sol,2938,/bdata2/sc/dataset/mainnet/0xF3997658374347Aaf6aD33A0721c9abf61E182a6.sol,compound-sweeptoken-not-restricted,security,Function sweepToken is allowed to be called by anyone,0.6.12,SWC-105
/bdata2/sc/dataset/mainnet/0xf03ea73555604725b3b8ace0b1551edb86d43065.sol,2540,/bdata2/sc/dataset/mainnet/0xf03ea73555604725b3b8ace0b1551edb86d43065.sol,compound-sweeptoken-not-restricted,security,Function sweepToken is allowed to be called by anyone,0.5.17,SWC-105
/bdata2/sc/dataset/mainnet/0x3b6d9abb27a4cc3fe248088814650b1a288b08ab.sol,2540,/bdata2/sc/dataset/mainnet/0x3b6d9abb27a4cc3fe248088814650b1a288b08ab.sol,compound-sweeptoken-not-restricted,security,Function sweepToken is allowed to be called by anyone,0.5.17,SWC-105
/bdata2/sc/dataset/mainnet/0x629473660404D0cD102fF79ccb8dbD9e8fEAC0F5.sol,2497,/bdata2/sc/dataset/mainnet/0x629473660404D0cD102fF79ccb8dbD9e8fEAC0F5.sol,compound-sweeptoken-not-restricted,security,Function sweepToken is allowed to be called by anyone,0.8.9,SWC-105
/bdata2/sc/dataset/mainnet/0xf45cAaF20787F68787411Ec5D5B9E6920eEd920D.sol,3306,/bdata2/sc/dataset/mainnet/0xf45cAaF20787F68787411Ec5D5B9E6920eEd920D.sol,compound-sweeptoken-not-restricted,security,Function sweepToken is allowed to be called by anyone,0.8.9,SWC-105
/bdata2/sc/dataset/mainnet/0x339B2D3bf0406DF82f8fa7B0d855a3f47562d8D7.sol,2462,/bdata2/sc/dataset/mainnet/0x339B2D3bf0406DF82f8fa7B0d855a3f47562d8D7.sol,compound-sweeptoken-not-restricted,security,Function sweepToken is allowed to be called by anyone,0.5.16,SWC-105
